대피소명,위치,현재인원,수용가능인원,수용가능인원범위,경도,위도,시,구,읍면동,담당자 연락처,비율
대구은행,경상북도 영주시 번영로 149 (하망동),240,361,100이상 1000이하,128.6251458,36.8244629,경상북도,영주시,하망동,010-5213-9166,0.6648199445983379
KT영주지사,"경상북도 영주시 구성로 269 (휴천동, 한국통신)",51,144,100이상 1000이하,128.627354,36.8174028,경상북도,영주시,휴천동,010-3122-3054,0.3541666666666667
코오롱2차아파트 보일러실,경상북도 영주시 영주로 303-0 (하망동),527,1169,1000이상 5000이하,128.6331473,36.8250388,경상북도,영주시,하망동,010-7835-2982,0.4508126603934987
영주시청 대피소,"경상북도 영주시 시청로 1 (휴천동, 영주시청)",245,801,100이상 1000이하,128.624063,36.805667,경상북도,영주시,휴천동,010-2237-9898,0.30586766541822724
현대동산아파트,"경상북도 영주시 남간로 38-10 (휴천동, 현대동산아파트)",4076,4195,1000이상 5000이하,128.6318481,36.8180231,경상북도,영주시,휴천동,010-8274-6510,0.9716328963051252
경북전문대 학생군사교육단,"경상북도 영주시 대학로 77 (휴천동, 경북전문대학교)",299,641,100이상 1000이하,128.6147594,36.8045443,경상북도,영주시,휴천동,010-3519-5181,0.4664586583463339
가흥동 3주공아파트,경상북도 영주시 가흥로 343 (가흥동),455,530,100이상 1000이하,128.6109464,36.8267083,경상북도,영주시,가흥동,010-7967-6237,0.8584905660377359
가흥주공아파트,경상북도 영주시 대학로 130 (가흥동),558,3990,1000이상 5000이하,128.6115151,36.809581,경상북도,영주시,가흥동,010-2980-9177,0.13984962406015036
영남동산아파트,"경상북도 영주시 원당로223번길 지하 57 (하망동, 영남동산아파트 1동 지하주차장에 대피소가 위치함)",872,1534,1000이상 5000이하,128.6344056,36.8297443,경상북도,영주시,하망동,010-6957-6616,0.5684485006518905
신영주교회,경상북도 영주시 원당로 30 (가흥동),219,303,100이상 1000이하,128.6194679,36.8176927,경상북도,영주시,가흥동,010-8246-6340,0.7227722772277227
영주교육지원청,경상북도 영주시 가흥로 165 (가흥동),421,473,100이상 1000이하,128.6123798,36.8123063,경상북도,영주시,가흥동,010-4913-4699,0.8900634249471459
