위치,법정동명,법정동코드,대피소명,경도,위도,수용가능인원,구,시,현재인원,비율,읍면동,담당자 연락처
경상북도 영주시 순흥면 읍내리 370-1,경상북도 영주시 순흥면,47210370,소수중학교 운동장,128.5781692,36.91185521,2317,영주시,경상북도,53,0.022874407,순흥면,010-8335-8901
경상북도 상주시 외서면 가곡리 109,경상북도 상주시 외서면,47250430,외서초등학교 운동장,128.1076021,36.47990963,4848,상주시,경상북도,3377,0.696575908,외서면,010-8551-9973
경상북도 상주시 내서면 낙서리 2,경상북도 상주시 내서면,47250370,내서중학교 운동장,128.0190842,36.41312803,15450,상주시,경상북도,2499,0.161747573,내서면,010-7635-2870
경상북도 상주시 모동면 금천리 6,경상북도 상주시 모동면,47250380,모동초등학교 운동장,127.9594159,36.31704518,18534,상주시,경상북도,16380,0.883781159,모동면,010-4963-2966
경상북도 상주시 만산동 673-1,경상북도 상주시 만산동,47250133,상주중학교 운동장,128.155188,36.42883927,10703,상주시,경상북도,4100,0.383070167,만산동,010-5015-1470
경상북도 상주시 함창읍 구향리 63,경상북도 상주시 함창읍,47250250,함창초등학교 운동장,128.1808745,36.57140588,5375,상주시,경상북도,2542,0.472930233,함창읍,010-2806-6737
전라남도 완도군 군외면 신학리 666,전라남도 완도군 군외면,46890310,군외초등학교,126.6465997,34.37910938,2553,완도군,전라남도,448,0.175479828,군외면,010-5818-9691
경기도 수원시 영통구 영통동 989-3,경기도 수원시 영통구,41117000,살구골공원,127.0735873,37.24951527,14284,수원시,경기도,5745,0.402198264,영통구,010-4917-5793
경기도 수원시 영통구 영통동 969-2,경기도 수원시 영통구,41117000,벽적골공원,127.0626363,37.24854436,16366,수원시,경기도,332,0.020285959,영통구,010-7808-1175
경기도 성남시 중원구 성남동 2876-1,경기도 성남시 중원구,41133000,동광고등학교 운동장,127.1438264,37.4341455,18408,성남시,경기도,13632,0.740547588,중원구,010-7980-7146
경기도 성남시 분당구 정자동 76-0,경기도 성남시 분당구,41135000,백현초등학교 운동장,127.1115577,37.37189226,8568,성남시,경기도,6180,0.721288515,분당구,010-7012-5747
경기도 성남시 분당구 정자동 123-0,경기도 성남시 분당구,41135000,정자중학교 운동장,127.1107092,37.36524127,9004,성남시,경기도,8890,0.98733896,분당구,010-3288-3978
경기도 성남시 분당구 수내동 81-0,경기도 성남시 분당구,41135000,수내초등학교 운동장,127.1242226,37.36750116,9895,성남시,경기도,219,0.02213239,분당구,010-4110-5925
경기도 성남시 분당구 분당동 91-0,경기도 성남시 분당구,41135000,성남장안초등학교 운동장,127.1440694,37.37216452,3175,성남시,경기도,1432,0.451023622,분당구,010-8677-5548
경기도 성남시 분당구 백현동 559,경기도 성남시 분당구,41135000,신백현초등학교운동장,127.1119566,37.38689643,11689,성남시,경기도,2976,0.25459834,분당구,010-3332-9807
경기도 성남시 분당구 이매동 136-0,경기도 성남시 분당구,41135000,성남매송초등학교 운동장,127.1228394,37.40169445,10641,성남시,경기도,9660,0.907809416,분당구,010-5994-7135
경기도 성남시 분당구 이매동 118-0,경기도 성남시 분당구,41135000,안말초등학교 운동장,127.1256779,37.39280381,9238,성남시,경기도,1262,0.136609656,분당구,010-8182-9885
경기도 의정부시 용현동 5-1,경기도 의정부시 용현동,41150105,의정부용현초등학교,127.0873369,37.73860923,4550,의정부시,경기도,3553,0.780879121,용현동,010-1183-1023
경기도 의정부시 신곡동 784-1,경기도 의정부시 신곡동,41150104,의정부효자초등학교,127.077851,37.749929,5385,의정부시,경기도,1892,0.351346332,신곡동,010-7164-6205
경기도 의정부시 용현동 211-4,경기도 의정부시 용현동,41150105,솔뫼초등학교,127.0812846,37.73142634,5419,의정부시,경기도,797,0.147075106,용현동,010-8574-9572
경기도 의정부시 신곡동 768-1,경기도 의정부시 신곡동,41150104,효자고등학교,127.076531,37.752614,4969,의정부시,경기도,226,0.045481988,신곡동,010-9240-8244
